country,brand,Ingredient_CSAT
at,ms,262.1818181818182
au,dn,274.061099796334
au,ms,265.47403685092127
be,ms,288.0503144654088
de,dn,244.23529411764707
de,ms,262.92413793103447
dk,ms,259.30232558139534
nl,ms,278.5875706214689
se,ms,248.06451612903226
us,dn,262.8486646884273
us,ms,254.048128342246
